;;;;;;;;;REGISTRO DE INGRESOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Codigo
Cliente";Ciudad;Zona;"Nombre Comercial o 
Nombre del Cliente";CodigoVendedor;Vendedor;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;Total 2022;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;Total 2023;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;Total 2024;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;Total 2025;Total General
1303;La Paz;12 DE OCTUBRE;FERRETERIA ILUTEC;15;ROLY CHALCO;35.14;59.27;83.7;41.1;74.39;0.0;30.29;58.45;65.29;37.52;0.0;48.33;533.47;0.0;79.31;58.61;0.0;98.7;27.04;0.0;0.0;107.68;101.17;91.91;73.85;638.26;0.0;85.96;57.03;37.54;75.33;66.37;39.58;87.35;42.45;62.3;64.78;54.87;673.54;31.62;98.23;71.16;27.95;91.91;42.78;48.65;53.46;72.24;538.0;2383.27
1291;La Paz;12 DE OCTUBRE;MUNDO LED;15;ROLY CHALCO;0.0;30.47;0.0;30.42;21.76;18.63;44.22;39.57;22.17;28.74;18.51;25.63;280.12;18.58;18.15;39.14;25.44;44.16;14.94;31.69;47.06;62.62;48.95;21.33;47.11;419.17;30.95;41.44;40.29;24.99;32.22;40.21;16.13;23.62;37.76;47.02;29.43;28.08;392.13;25.94;38.1;36.59;28.46;32.66;0.0;15.84;42.76;19.56;239.9;1331.31
735;La Paz;12 DE OCTUBRE;FERRETERIA TRUJILLO 12 DE OCTUBRE;15;ROLY CHALCO;0.0;295.89;644.91;425.31;554.82;220.71;354.72;496.56;304.49;242.49;211.94;270.42;4022.24;0.0;349.81;442.76;327.64;951.34;356.28;275.04;621.68;739.43;615.36;671.12;152.38;5502.83;364.07;622.17;268.9;309.79;368.64;369.98;342.98;0.0;822.42;389.16;401.99;302.51;4562.61;510.89;405.34;209.44;534.83;244.07;245.51;317.13;350.63;362.16;3179.99;17267.69
2446;La Paz;12 DE OCTUBRE;FERRETERIA INNOVA ELECTRIC;15;ROLY CHALCO;187.89;138.22;151.1;104.83;199.72;63.3;72.92;87.27;241.6;169.9;125.92;134.73;1677.4;183.97;248.14;174.87;133.23;209.58;182.0;93.08;258.95;286.54;291.01;259.52;390.41;2711.3;206.36;129.05;162.76;194.55;248.48;179.33;90.93;253.3;175.76;296.58;91.38;197.11;2225.58;185.38;177.1;96.73;151.13;218.43;103.03;81.43;290.45;231.95;1535.65;8149.93
590;La Paz;12 DE OCTUBRE;FERRETERIA ELECTRICA CANAVIRI;15;ROLY CHALCO;131.11;0.0;108.65;0.0;0.0;139.53;66.45;0.0;115.06;152.85;234.87;170.71;1119.23;0.0;204.73;210.26;248.04;0.0;93.99;0.0;218.1;361.75;429.28;125.71;0.0;1891.87;211.32;65.16;242.8;234.54;334.89;182.6;148.59;301.04;0.0;274.51;170.74;238.8;2404.99;146.35;186.58;145.12;227.61;158.34;90.77;0.0;197.52;225.02;1377.3;6793.39
685;La Paz;12 DE OCTUBRE;FERRETERIA JUAN;15;ROLY CHALCO;0.0;89.85;0.0;78.18;93.56;103.91;57.97;0.0;0.0;98.02;0.0;66.72;588.22;0.0;104.92;94.11;147.08;74.3;122.06;0.0;179.79;169.57;0.0;79.03;70.8;1041.66;104.55;0.0;128.17;53.38;0.0;68.17;77.11;195.91;132.99;72.3;42.88;73.59;949.06;98.87;0.0;127.24;106.84;0.0;85.29;49.21;0.0;135.63;603.08;3182.03
1172;La Paz;12 DE OCTUBRE;FERRETERIA JULYIOS;15;ROLY CHALCO;223.42;208.71;145.27;131.11;261.21;311.67;0.0;0.0;0.0;199.81;155.89;0.0;1637.08;326.16;298.37;222.45;266.4;310.71;131.48;143.3;0.0;287.83;329.53;149.45;181.52;2647.2;303.65;218.52;355.51;136.61;322.04;215.6;204.53;337.93;248.6;0.0;327.39;263.94;2934.32;238.57;0.0;0.0;190.08;275.27;205.89;168.01;304.09;155.18;1537.1;8755.7
616;La Paz;12 DE OCTUBRE;M Y M ELECTRIC;15;ROLY CHALCO;275.29;419.38;0.0;548.77;362.1;284.03;279.24;415.61;464.41;261.01;407.07;232.09;3949.0;604.02;812.02;556.79;398.44;819.81;883.9;330.28;886.36;606.22;683.86;270.71;717.74;7570.16;294.44;297.82;484.63;517.83;455.37;468.9;672.76;521.18;533.68;633.19;644.66;364.26;5888.74;0.0;296.76;708.91;681.54;650.45;494.52;297.18;568.8;585.41;4283.58;21691.46
586;La Paz;12 DE OCTUBRE;FERRETERIA MACHINE ELECTRIC;15;ROLY CHALCO;170.01;116.38;115.77;108.74;0.0;0.0;138.21;299.23;196.41;193.85;0.0;110.13;1448.72;186.33;119.1;211.9;93.93;206.96;0.0;193.01;245.17;278.58;483.53;155.24;128.02;2301.78;175.39;220.39;266.35;214.88;240.6;202.9;165.39;186.18;158.21;158.99;260.12;204.77;2454.17;217.42;119.04;225.06;142.71;148.3;115.05;136.57;208.87;152.85;1465.87;7670.55
